Title,Link,Text_info
Из цикла ETL: настройка первого DAG,https://tproger.ru/articles/iz-cikla-etl-nastrojka-pervogo-dag,"Рассказываем о настройке первого DAG — направленного ациклического графа — для тех, кто решил автоматизировать отлаженный код на Python."
"Ещё 10 фишек Python, которые поднимут ваш скилл на новый уровень",https://tproger.ru/articles/eshhyo-10-fiwek-python-kotorye-podnimut-vaw-skill-na-novyj-uroven,"Рассказываем о 10 функциях в Python, использование которых прокачает ваш скилл программирования и уровень вашего кода."
Как выбрать тему для PyCharm,https://tproger.ru/articles/kak-vybrat-temu-dlya-pycharm,"Рассказали о 4 темах для PyCharm, о том, как искать темы на JetBrains Marketplace и GitHub и как устанавливать их."
"Области видимости в Python, о которых вы не знали",https://tproger.ru/articles/oblasti-vidimosti-v-python-o-kotoryh-vy-ne-znali,"Рассказываем обо всех четырех областях видимости Python, которые нужно освоить разработчикам, и о том, как их использовать."
Преобразование видео в мультфильм на Python и CV2,https://tproger.ru/articles/preobrazovanie-video-v-multfilm-na-python-i-cv2,"Рассказываем, как превратить видео с мультик при помощи Python и CV2, разбив видео на изображения и объединив обратно после преобразования."
Рейтинг лучших программистов в мире 2023: раунд 2,https://tproger.ru/articles/rejting-luchwih-programmistov-v-mire-2023-raund-2,"В раунде №2 батла за звание лучшего программиста в мире схлестнутся Джеймс Гослинг и Бьёрн Страуструп, Гвидо ван Россум и Андерс Гейлсберг."
Рейтинг лучших программистов в мире 2023: анонс,https://tproger.ru/articles/startuet-batl-luchwih-programmistov-mira-2023,"Объявляем батл за звание лучшего программиста мира. Читатели Tproger смогут выяснить, кто самый крутой айтишник в мире."
Dunder-методы: зачем они нужны и что могут,https://tproger.ru/articles/dunder-metody-zachem-oni-nuzhny-i-chto-mogut,"Рассказываем, что такое Dunder-методы, которые в Python определяются с двумя подчёркиваниями, зачем они нужны и как их использовать."
Из цикла ETL: развертывание Airflow,https://tproger.ru/articles/iz-cikla-etl-razvertyvanie-airflow,Как развернуть Airflow – замечательное ПО для автоматизации почти всего на Python. Используем в качестве базы Windows 10 + Linux WSL.
Как написать свой Python-модуль,https://tproger.ru/articles/kak-napisat-svoj-python-modul,"Если вы выделили повторяющийся функционал в отдельный набор функций и хотите стабилизировать код для быстрого подключения, статья для вас."
